title,author,publisher,image_url,isbn,category
현대 심리치료와 상담 이론,권석만,학지사,https://image.aladin.co.kr/product/1909/0/cover500/8963309266_1.jpg,9788963309262,"['대학교재/전문서적', '인문학', '추천도서']"
아몬드 (양장),손원평,창비,https://image.aladin.co.kr/product/10565/12/cover500/8936434268_1.jpg,9788936434267,"['소설/시/희곡', '추천도서']"
ETS 토익 단기 공략 750+ (LC + RC),ETS,(주)YBM(와이비엠),https://image.aladin.co.kr/product/24919/64/cover500/8917235948_1.jpg,9788917235944,['외국어']
해커스 토익 스타트 리딩 RC,David Cho,해커스어학연구소(Hackers),https://image.aladin.co.kr/product/22236/30/cover500/8965423376_2.jpg,9788965423379,['외국어']
당신은 결국 무엇이든 해내는 사람 (10만 부 기념 특별 리커버 에디션),김상현,필름(Feelm),https://image.aladin.co.kr/product/31100/55/cover500/k492831631_1.jpg,9791188469994,['에세이']
마흔에 읽는 니체 (10만 부 양장 리커버 에디션),장재형,유노북스,https://image.aladin.co.kr/product/31141/56/cover500/k572831042_1.jpg,9791192300245,['인문학']
"오늘 밤, 세계에서 이 눈물이 사라진다 해도",이치조 미사키,모모,https://image.aladin.co.kr/product/29837/59/cover500/k472838820_1.jpg,9791191043976,['소설/시/희곡']
초거대 위협,누리엘 루비니,한국경제신문,https://image.aladin.co.kr/product/31058/63/cover500/8947548774_1.jpg,9788947548779,['경제경영']
2023 해커스 GSAT 삼성직무적성검사 통합 기본서 최신기출유형+실전모의고사 (수리논리/추리),해커스 취업교육연구소,챔프스터디,https://image.aladin.co.kr/product/30661/21/cover500/8969653317_1.jpg,9788969653314,['수험서/자격증']
메리골드 마음 세탁소,윤정은,북로망스,https://image.aladin.co.kr/product/31222/5/cover500/k562831250_2.jpg,9791191891287,['소설/시/희곡']
인생의 역사,신형철,난다,https://image.aladin.co.kr/product/30328/61/cover500/k362839230_1.jpg,9791191859379,"['소설/시/희곡', '에세이']"
최애의 아이 9,아카사카 아카,대원씨아이(만화),https://image.aladin.co.kr/product/31196/82/cover500/k962831052_1.jpg,9791169793292,['만화']
2023 시나공 정보처리기사 실기,"길벗 R&D, 강윤석, 김용갑, 김우경, 김유홍, 김정준",길벗,https://image.aladin.co.kr/product/31043/21/cover500/k392831615_1.jpg,9791140703074,"['수험서/자격증', '컴퓨터/모바일']"
"마흔, 다시 만날 것처럼 헤어져라",조우성,서삼독,https://image.aladin.co.kr/product/31148/23/cover500/k622831043_1.jpg,9791165347017,['자기계발']
인스타 브레인,안데르스 한센,동양북스(동양문고),https://image.aladin.co.kr/product/23973/11/cover500/k422639014_2.jpg,9791157686179,['인문학']
박문호 박사의 빅히스토리 공부,박문호,김영사,https://image.aladin.co.kr/product/29713/23/cover500/8934961783_1.jpg,9788934961789,['과학']
GPT 제너레이션 : 챗GPT가 바꿀 우리 인류의 미래,이시한,북모먼트,https://image.aladin.co.kr/product/31081/33/cover500/k062831622_1.jpg,9791191891270,['경제경영']
삶은 문제해결의 연속이다,칼 포퍼,포레스트북스,https://image.aladin.co.kr/product/31133/1/cover500/k622831944_1.jpg,9791192625263,['인문학']
설민석의 세계사 대모험 16,"설민석, 김정욱",단꿈아이,https://image.aladin.co.kr/product/31316/83/cover500/k582832886_1.jpg,9791198179999,['어린이']
날씨와 얼굴,이슬아,위고,https://image.aladin.co.kr/product/31132/21/cover500/k082831941_2.jpg,9791186602935,['에세이']
나도 상처 받지 않고 친구도 상처 받지 않는 말하기 연습,강승임,위즈덤하우스,https://image.aladin.co.kr/product/31190/49/cover500/k332831959_1.jpg,9791168125933,['어린이']
좌파의 길,낸시 프레이저,서해문집,https://image.aladin.co.kr/product/30992/36/cover500/k012831406_1.jpg,9791192085913,"['사회과학', '역사', '인문학']"
